Calculated optimized lattice constant using variable cell approach:

Structure              a              c                  a/c
   Al2Hg2     4.539904758     4.210969571  0.927545795664
   Mn2Nb2     4.334956627     3.067441173  0.707605966319
   Ag2Hg2     4.593866132     4.110232817  0.894721939843
   Al2La2     5.379445490     3.808312218  0.707937690805
   Ru2Os2     3.837311391     3.845524849   1.00214041999
   Ni2Hg2     4.082314837     3.715283300  0.910092300164
   Rh2Ir2     3.861498469     3.871820805   1.00267314259
   Nb2Hf2     4.159408834     4.699977150   1.12996277538
   Al2Ni2     4.098100791     2.897050631  0.706925177966
   Rh2Ta2     4.075183547     3.860239368  0.947255337945
    Cu2W2     3.760387375     4.007298577   1.06566110812
    V2Tc2     4.275134453     3.023427706  0.707212308581
   Cr2Pt2     3.760693952     3.881514699   1.03212724793
    Al2V2     3.766804144     4.015194007   1.06594180465
   Pd2Ag2     4.082727132     4.105648511   1.00561423241
    Ag2W2     3.816799088     4.594407389   1.20373309757
   Cd2In2     4.727217868     4.721170550  0.998720744808
   Sc2Zr2     4.522394207     4.589680692   1.01487850946
    V2Hf2     4.821378407     3.336829802  0.692090419029
    Pd2W2     3.869823728     4.165436994   1.07638933625
   Al2Rh2     4.255230139     3.009747808  0.707305529827
   Fe2Pt2     3.886668493     3.765141453  0.968732337163
   Cd2Pb2     4.934751722     4.704704721  0.953382254273
   Ti2Ir2     4.163249419     3.494010352  0.839250787151
    Zr2W2     3.958179696     4.853689794   1.22624291133
   Cd2Au2     4.600144916     3.784791050  0.822754743407
   Ru2Hf2     4.589136811     3.244556594  0.707008033891
   Nb2Cd2     4.051176618     4.687327697   1.15702872004
   Sn2Ta2     4.597966417     3.793144434  0.824961317676
   Tl2Bi2     4.909788368     5.551334398   1.13066673794
   Os2Hg2     4.028367327     4.391661091   1.09018387215
   Cd2Bi2     4.998569255     4.600585280  0.920380421937
   Cd2Ta2     4.058125500     4.649817994    1.1458043853
   Ti2Pt2     4.007627563     3.893664224  0.971563390757
    V2Ag2     3.780469022     4.417180813   1.16842137504
    Zr2Y2     4.722755255     4.847642253    1.0264436735
   Ga2Re2     3.872405390     3.987844429   1.02981068028
   Fe2Tl2     4.323854679     4.120991650  0.953082829082
   Mo2Ta2     4.741862142     3.217707123  0.678574582441
   Ag2Ta2     4.003663227     4.456696794   1.11315476385
   Zr2Ru2     4.633329500     3.276312886  0.707118474091
   Fe2Au2     3.991864719     3.903560539  0.977878964791
   Zr2Ta2     4.136407886     4.815137027   1.16408660841
   In2Os2     4.600974508     3.260600796  0.708676127271
   Pt2Hg2     4.326711335     3.984144036  0.920825016398
   Ga2Ta2     4.016171612     4.078124275   1.01542580073
   Co2Ni2     3.502975341     3.609587417   1.03043472067
   Cr2Hf2     4.540488023     3.214777119  0.708024578573
   Mo2Pd2     3.861710510     4.154049534   1.07570195209
    V2Cr2     3.404695937     4.377800181   1.28581237855
   Re2Au2     3.877446388     4.315430048   1.11295672878
   Cu2Re2     3.657955625     4.068296913   1.11217776542
   Ni2Ga2     4.128114013     2.941134973  0.712464569471
   Ru2Bi2     4.825885392     3.418619962  0.708392281273
   Co2Sc2     4.410755486     3.122146873  0.707848549508
    Tc2W2     4.422507658     3.138891906   0.70975386562
   Co2Mo2     3.746355754     3.710753381  0.990496798666
   Zr2Bi2     5.187349444     3.673783985  0.708219876964
   Rh2Au2     4.013145504     4.064242373   1.01273237388
   Sn2Pb2     4.956664760     5.010384715   1.01083792381
   Zn2Zr2     4.718036339     3.357349066  0.711598814585
   Ga2Hg2     4.920061194     4.059682883   0.82512853457
   Sc2Mo2     3.952427197     4.709684266   1.19159292031
   Zn2Pd2     4.152706456     3.422848659   0.82424527119
   Ni2Au2     4.177964047     3.377335377  0.808368702796
   La2Ta2     4.378025980     5.224660101   1.19338261693
   Hf2Bi2     5.146922218     3.654132007  0.709964489889
   Cr2Nb2     4.386956089     3.103054714  0.707336624996
   Zr2Re2     4.655976505     3.327269371  0.714623316382
   Co2Re2     3.688534636     3.728751527   1.01090321631
   Fe2Pb2     4.837345432     3.453454293  0.713915171357
   Ta2Re2     4.522763605     3.201637418  0.707894043912
   Mo2Os2     3.934651320     3.903054411  0.991969578387
   Cr2Zn2     3.525279495     4.111356535   1.16624980823
